Temperature,Humidity,Wind Speed,Weather Condition,Date Time
16.61,43,0.88,clear sky,2024-12-05 18:00:00
15.28,32,1.88,clear sky,2024-12-05 21:00:00
13.13,24,1.31,clear sky,2024-12-06 00:00:00
14.37,24,1.31,clear sky,2024-12-06 03:00:00
20.88,15,1.9,clear sky,2024-12-06 06:00:00
23.55,12,2.77,clear sky,2024-12-06 09:00:00
19.31,15,1.32,clear sky,2024-12-06 12:00:00
16.88,17,0.58,clear sky,2024-12-06 15:00:00
15.03,18,1.4,clear sky,2024-12-06 18:00:00
13.25,21,1.82,clear sky,2024-12-06 21:00:00
12.04,25,0.56,few clouds,2024-12-07 00:00:00
13.63,23,0.44,scattered clouds,2024-12-07 03:00:00
19.85,14,1.4,broken clouds,2024-12-07 06:00:00
22.22,11,1.13,overcast clouds,2024-12-07 09:00:00
18.35,14,0.93,broken clouds,2024-12-07 12:00:00
16.25,16,2.01,clear sky,2024-12-07 15:00:00
13.94,19,2.95,clear sky,2024-12-07 18:00:00
12.25,23,2.9,clear sky,2024-12-07 21:00:00
10.98,27,3.2,clear sky,2024-12-08 00:00:00
11.78,26,2.93,clear sky,2024-12-08 03:00:00
19.88,20,4.09,clear sky,2024-12-08 06:00:00
22.49,19,2.85,scattered clouds,2024-12-08 09:00:00
18.84,24,2.89,scattered clouds,2024-12-08 12:00:00
15.72,32,3.83,overcast clouds,2024-12-08 15:00:00
12.96,53,3.36,broken clouds,2024-12-08 18:00:00
11.83,66,4.54,clear sky,2024-12-08 21:00:00
10.37,73,3.46,clear sky,2024-12-09 00:00:00
11.46,74,2.79,light rain,2024-12-09 03:00:00
17.36,46,1.68,clear sky,2024-12-09 06:00:00
19.56,37,1.83,clear sky,2024-12-09 09:00:00
17.09,42,2.08,clear sky,2024-12-09 12:00:00
14.92,48,1.98,clear sky,2024-12-09 15:00:00
13.5,52,1.82,clear sky,2024-12-09 18:00:00
12.15,56,1.92,clear sky,2024-12-09 21:00:00
11.14,57,2.41,clear sky,2024-12-10 00:00:00
11.79,54,1.88,clear sky,2024-12-10 03:00:00
17.97,33,2.21,clear sky,2024-12-10 06:00:00
20.42,23,2.88,clear sky,2024-12-10 09:00:00
16.96,23,2.22,clear sky,2024-12-10 12:00:00
14.53,24,1.8,few clouds,2024-12-10 15:00:00
